Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=50, eval=False, exp_name='K15', k=15, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 2.820333, train acc: 0.422435, train avg acc: 0.246193
Test 0, loss: 2.226791, test acc: 0.605348, test avg acc: 0.454831
Train 1, loss: 2.244418, train acc: 0.625102, train avg acc: 0.442726
Test 1, loss: 2.005527, test acc: 0.725284, test avg acc: 0.594326
Train 2, loss: 2.079131, train acc: 0.689739, train avg acc: 0.530010
Test 2, loss: 1.910139, test acc: 0.725284, test avg acc: 0.613814
Train 3, loss: 1.974109, train acc: 0.734426, train avg acc: 0.596101
Test 3, loss: 1.807901, test acc: 0.794571, test avg acc: 0.675372
Train 4, loss: 1.924693, train acc: 0.758245, train avg acc: 0.627839
Test 4, loss: 1.834576, test acc: 0.783630, test avg acc: 0.656023
Train 5, loss: 1.868965, train acc: 0.781963, train avg acc: 0.662567
Test 5, loss: 1.757103, test acc: 0.809157, test avg acc: 0.707285
Train 6, loss: 1.827019, train acc: 0.798555, train avg acc: 0.690814
Test 6, loss: 1.682803, test acc: 0.855754, test avg acc: 0.775366
Train 7, loss: 1.804906, train acc: 0.811991, train avg acc: 0.705133
Test 7, loss: 1.680975, test acc: 0.846029, test avg acc: 0.759209
Train 8, loss: 1.782096, train acc: 0.821967, train avg acc: 0.725243
Test 8, loss: 1.643431, test acc: 0.870340, test avg acc: 0.787093
Train 9, loss: 1.756438, train acc: 0.832655, train avg acc: 0.738024
Test 9, loss: 1.644493, test acc: 0.856969, test avg acc: 0.773360
Train 10, loss: 1.746005, train acc: 0.836523, train avg acc: 0.744915
Test 10, loss: 1.652102, test acc: 0.861831, test avg acc: 0.795837
Train 11, loss: 1.723817, train acc: 0.847109, train avg acc: 0.762070
Test 11, loss: 1.613841, test acc: 0.875203, test avg acc: 0.807471
Train 12, loss: 1.711085, train acc: 0.846702, train avg acc: 0.762099
Test 12, loss: 1.598518, test acc: 0.880470, test avg acc: 0.804738
Train 13, loss: 1.697049, train acc: 0.854947, train avg acc: 0.770742
Test 13, loss: 1.607367, test acc: 0.869530, test avg acc: 0.803419
Train 14, loss: 1.686095, train acc: 0.858306, train avg acc: 0.779601
Test 14, loss: 1.616772, test acc: 0.876013, test avg acc: 0.822081
Train 15, loss: 1.670254, train acc: 0.866857, train avg acc: 0.792691
Test 15, loss: 1.571978, test acc: 0.898703, test avg acc: 0.840971
