Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=50, eval=False, exp_name='K30_mean', k=30, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 2.810075, train acc: 0.421824, train avg acc: 0.247545
Test 0, loss: 2.231947, test acc: 0.598055, test avg acc: 0.459064
Train 1, loss: 2.271997, train acc: 0.595480, train avg acc: 0.414044
Test 1, loss: 2.011032, test acc: 0.709481, test avg acc: 0.546721
Train 2, loss: 2.139982, train acc: 0.658489, train avg acc: 0.492581
Test 2, loss: 2.040981, test acc: 0.691248, test avg acc: 0.561616
Train 3, loss: 2.063338, train acc: 0.691164, train avg acc: 0.539699
Test 3, loss: 1.891814, test acc: 0.779984, test avg acc: 0.665006
Train 4, loss: 2.009177, train acc: 0.719259, train avg acc: 0.581419
Test 4, loss: 1.835757, test acc: 0.794571, test avg acc: 0.679488
Train 5, loss: 1.970846, train acc: 0.732695, train avg acc: 0.598954
Test 5, loss: 1.853956, test acc: 0.769044, test avg acc: 0.666151
Train 6, loss: 1.924982, train acc: 0.753359, train avg acc: 0.626447
Test 6, loss: 1.802492, test acc: 0.793355, test avg acc: 0.695093
Train 7, loss: 1.902568, train acc: 0.763945, train avg acc: 0.645692
Test 7, loss: 1.767061, test acc: 0.824554, test avg acc: 0.711785
Train 8, loss: 1.871629, train acc: 0.773921, train avg acc: 0.650036
Test 8, loss: 1.766362, test acc: 0.810778, test avg acc: 0.710686
Train 9, loss: 1.847710, train acc: 0.789495, train avg acc: 0.677243
Test 9, loss: 1.781404, test acc: 0.824149, test avg acc: 0.757012
Train 10, loss: 1.836953, train acc: 0.792040, train avg acc: 0.683700
Test 10, loss: 1.713169, test acc: 0.845219, test avg acc: 0.767913
Train 11, loss: 1.813291, train acc: 0.809446, train avg acc: 0.708111
Test 11, loss: 1.725551, test acc: 0.833468, test avg acc: 0.751645
Train 12, loss: 1.794650, train acc: 0.810159, train avg acc: 0.708993
Test 12, loss: 1.738760, test acc: 0.831442, test avg acc: 0.729401
Train 13, loss: 1.783351, train acc: 0.816775, train avg acc: 0.718106
Test 13, loss: 1.699511, test acc: 0.835089, test avg acc: 0.757465
Train 14, loss: 1.761375, train acc: 0.824104, train avg acc: 0.727793
Test 14, loss: 1.641356, test acc: 0.868720, test avg acc: 0.802581
Train 15, loss: 1.744239, train acc: 0.835301, train avg acc: 0.741836
Test 15, loss: 1.665053, test acc: 0.852917, test avg acc: 0.773122
Train 16, loss: 1.731865, train acc: 0.840900, train avg acc: 0.753242
Test 16, loss: 1.699120, test acc: 0.833874, test avg acc: 0.773872
Train 17, loss: 1.721640, train acc: 0.840391, train avg acc: 0.749418
Test 17, loss: 1.665000, test acc: 0.865073, test avg acc: 0.770424
Train 18, loss: 1.702882, train acc: 0.853522, train avg acc: 0.771465
Test 18, loss: 1.717449, test acc: 0.841572, test avg acc: 0.744802
Train 19, loss: 1.699211, train acc: 0.851995, train avg acc: 0.775064
Test 19, loss: 1.585136, test acc: 0.892626, test avg acc: 0.819291
Train 20, loss: 1.688216, train acc: 0.855354, train avg acc: 0.774480
Test 20, loss: 1.571066, test acc: 0.889384, test avg acc: 0.827047
Train 21, loss: 1.670467, train acc: 0.866857, train avg acc: 0.792190
Test 21, loss: 1.632495, test acc: 0.857780, test avg acc: 0.813680
Train 22, loss: 1.657488, train acc: 0.868689, train avg acc: 0.797156
Test 22, loss: 1.572677, test acc: 0.892220, test avg acc: 0.827512
Train 23, loss: 1.653255, train acc: 0.868994, train avg acc: 0.796242
Test 23, loss: 1.575875, test acc: 0.891815, test avg acc: 0.845174
Train 24, loss: 1.641282, train acc: 0.874287, train avg acc: 0.804390
Test 24, loss: 1.567264, test acc: 0.896677, test avg acc: 0.843343
Train 25, loss: 1.630616, train acc: 0.882736, train avg acc: 0.818713
Test 25, loss: 1.549283, test acc: 0.903566, test avg acc: 0.841994
Train 26, loss: 1.617377, train acc: 0.886604, train avg acc: 0.825213
Test 26, loss: 1.544742, test acc: 0.903971, test avg acc: 0.845116
Train 27, loss: 1.611564, train acc: 0.890981, train avg acc: 0.831878
Test 27, loss: 1.574006, test acc: 0.892626, test avg acc: 0.823802
Train 28, loss: 1.606014, train acc: 0.891185, train avg acc: 0.830668
Test 28, loss: 1.533017, test acc: 0.898298, test avg acc: 0.834953
Train 29, loss: 1.598476, train acc: 0.895257, train avg acc: 0.836641
Test 29, loss: 1.528773, test acc: 0.905186, test avg acc: 0.856669
Train 30, loss: 1.580858, train acc: 0.903196, train avg acc: 0.847311
Test 30, loss: 1.523419, test acc: 0.905997, test avg acc: 0.858872
Train 31, loss: 1.572421, train acc: 0.907370, train avg acc: 0.858103
Test 31, loss: 1.528440, test acc: 0.904376, test avg acc: 0.854163
Train 32, loss: 1.566168, train acc: 0.908897, train avg acc: 0.859151
Test 32, loss: 1.517473, test acc: 0.904781, test avg acc: 0.853494
Train 33, loss: 1.561996, train acc: 0.911543, train avg acc: 0.859962
Test 33, loss: 1.511641, test acc: 0.909643, test avg acc: 0.858203
Train 34, loss: 1.551580, train acc: 0.913884, train avg acc: 0.865861
Test 34, loss: 1.506321, test acc: 0.907212, test avg acc: 0.859698
Train 35, loss: 1.545858, train acc: 0.915208, train avg acc: 0.870560
Test 35, loss: 1.504062, test acc: 0.912885, test avg acc: 0.862628
Train 36, loss: 1.540933, train acc: 0.917752, train avg acc: 0.873721
Test 36, loss: 1.492724, test acc: 0.918152, test avg acc: 0.877657
Train 37, loss: 1.531726, train acc: 0.924369, train avg acc: 0.884015
Test 37, loss: 1.495399, test acc: 0.914100, test avg acc: 0.868500
Train 38, loss: 1.521994, train acc: 0.926507, train avg acc: 0.883509
Test 38, loss: 1.491011, test acc: 0.913695, test avg acc: 0.877413
Train 39, loss: 1.525755, train acc: 0.924369, train avg acc: 0.883698
Test 39, loss: 1.482793, test acc: 0.920178, test avg acc: 0.878535
Train 40, loss: 1.515684, train acc: 0.928848, train avg acc: 0.886940
Test 40, loss: 1.476424, test acc: 0.922609, test avg acc: 0.878703
Train 41, loss: 1.514667, train acc: 0.929967, train avg acc: 0.889841
Test 41, loss: 1.480554, test acc: 0.919368, test avg acc: 0.876541
Train 42, loss: 1.509919, train acc: 0.927932, train avg acc: 0.887347
Test 42, loss: 1.478430, test acc: 0.922609, test avg acc: 0.882826
Train 43, loss: 1.502281, train acc: 0.937500, train avg acc: 0.902036
Test 43, loss: 1.481004, test acc: 0.921799, test avg acc: 0.878407
Train 44, loss: 1.500589, train acc: 0.936889, train avg acc: 0.900864
Test 44, loss: 1.476650, test acc: 0.925851, test avg acc: 0.885076
Train 45, loss: 1.498968, train acc: 0.935566, train avg acc: 0.900820
Test 45, loss: 1.475833, test acc: 0.919773, test avg acc: 0.876616
Train 46, loss: 1.494781, train acc: 0.936584, train avg acc: 0.900243
Test 46, loss: 1.473966, test acc: 0.922609, test avg acc: 0.877157
Train 47, loss: 1.495630, train acc: 0.937500, train avg acc: 0.901849
Test 47, loss: 1.474705, test acc: 0.924635, test avg acc: 0.882407
Train 48, loss: 1.493111, train acc: 0.936787, train avg acc: 0.901895
Test 48, loss: 1.471788, test acc: 0.925041, test avg acc: 0.882785
Train 49, loss: 1.495308, train acc: 0.939129, train avg acc: 0.906448
Test 49, loss: 1.476254, test acc: 0.923015, test avg acc: 0.882448
Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=True, exp_name='K30_mean', k=20, lr=0.001, model='dgcnn', model_path='checkpoints/K30_mean/models/model.t7', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Test :: test acc: 0.900324, test avg acc: 0.866442
Namespace(aggregation='mean', angle=0, batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=True, exp_name='K30_mean', grid_samp=False, k=30, lr=0.001, model='dgcnn', model_path='checkpoints/K30_mean/models/model.t7', momentum=0.9, no_cuda=False, num_points=1024, seed=1, sigma=0, test_batch_size=16, use_sgd=True)
