Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=50, eval=False, exp_name='K30_sum', k=30, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 2.803074, train acc: 0.421926, train avg acc: 0.250016
Test 0, loss: 2.302891, test acc: 0.542950, test avg acc: 0.404320
Train 1, loss: 2.255867, train acc: 0.613396, train avg acc: 0.431032
Test 1, loss: 2.020267, test acc: 0.716370, test avg acc: 0.554314
Train 2, loss: 2.113284, train acc: 0.671417, train avg acc: 0.510692
Test 2, loss: 1.991266, test acc: 0.706240, test avg acc: 0.617093
Train 3, loss: 2.041236, train acc: 0.708265, train avg acc: 0.563843
Test 3, loss: 1.882771, test acc: 0.769044, test avg acc: 0.638703
Train 4, loss: 1.991388, train acc: 0.723432, train avg acc: 0.588108
Test 4, loss: 1.932539, test acc: 0.747164, test avg acc: 0.659424
Train 5, loss: 1.946993, train acc: 0.745521, train avg acc: 0.618071
Test 5, loss: 1.850925, test acc: 0.789303, test avg acc: 0.686698
Train 6, loss: 1.917158, train acc: 0.760281, train avg acc: 0.636918
Test 6, loss: 1.774841, test acc: 0.826175, test avg acc: 0.709669
Train 7, loss: 1.882231, train acc: 0.771580, train avg acc: 0.648878
Test 7, loss: 1.716996, test acc: 0.844408, test avg acc: 0.749256
Train 8, loss: 1.855513, train acc: 0.785423, train avg acc: 0.670340
Test 8, loss: 1.779863, test acc: 0.795381, test avg acc: 0.719314
Train 9, loss: 1.842744, train acc: 0.790106, train avg acc: 0.675684
Test 9, loss: 1.736132, test acc: 0.839141, test avg acc: 0.756715
Train 10, loss: 1.821025, train acc: 0.801608, train avg acc: 0.698971
Test 10, loss: 1.766133, test acc: 0.814019, test avg acc: 0.739907
Train 11, loss: 1.799504, train acc: 0.809853, train avg acc: 0.711007
Test 11, loss: 1.766005, test acc: 0.822528, test avg acc: 0.747942
Train 12, loss: 1.791418, train acc: 0.814739, train avg acc: 0.717997
Test 12, loss: 1.689286, test acc: 0.854943, test avg acc: 0.782140
Train 13, loss: 1.773321, train acc: 0.818099, train avg acc: 0.721326
Test 13, loss: 1.669425, test acc: 0.844814, test avg acc: 0.758913
Train 14, loss: 1.760637, train acc: 0.830415, train avg acc: 0.741256
Test 14, loss: 1.690496, test acc: 0.859400, test avg acc: 0.782953
Train 15, loss: 1.744220, train acc: 0.835912, train avg acc: 0.742030
Test 15, loss: 1.712512, test acc: 0.832253, test avg acc: 0.753744
Train 16, loss: 1.733269, train acc: 0.837032, train avg acc: 0.745836
Test 16, loss: 1.642952, test acc: 0.871151, test avg acc: 0.795500
Train 17, loss: 1.717566, train acc: 0.848738, train avg acc: 0.770142
Test 17, loss: 1.610434, test acc: 0.878039, test avg acc: 0.808343
Train 18, loss: 1.708706, train acc: 0.850265, train avg acc: 0.769398
Test 18, loss: 1.644172, test acc: 0.872366, test avg acc: 0.797535
Train 19, loss: 1.698564, train acc: 0.852300, train avg acc: 0.774617
Test 19, loss: 1.633850, test acc: 0.873177, test avg acc: 0.804343
Train 20, loss: 1.688661, train acc: 0.856372, train avg acc: 0.779064
Test 20, loss: 1.604588, test acc: 0.872771, test avg acc: 0.791703
Train 21, loss: 1.676605, train acc: 0.859833, train avg acc: 0.785536
Test 21, loss: 1.604708, test acc: 0.873582, test avg acc: 0.815390
Train 22, loss: 1.667904, train acc: 0.864923, train avg acc: 0.790004
Test 22, loss: 1.581588, test acc: 0.883712, test avg acc: 0.817279
Train 23, loss: 1.659083, train acc: 0.868689, train avg acc: 0.796226
Test 23, loss: 1.588379, test acc: 0.882496, test avg acc: 0.840855
Train 24, loss: 1.640602, train acc: 0.877341, train avg acc: 0.806571
Test 24, loss: 1.588180, test acc: 0.886953, test avg acc: 0.833773
Train 25, loss: 1.636430, train acc: 0.878970, train avg acc: 0.811860
Test 25, loss: 1.575628, test acc: 0.897083, test avg acc: 0.835477
Train 26, loss: 1.632093, train acc: 0.880497, train avg acc: 0.814430
Test 26, loss: 1.547766, test acc: 0.908023, test avg acc: 0.857250
Train 27, loss: 1.615061, train acc: 0.890269, train avg acc: 0.829003
Test 27, loss: 1.580527, test acc: 0.884117, test avg acc: 0.831843
Train 28, loss: 1.611952, train acc: 0.888945, train avg acc: 0.829456
Test 28, loss: 1.531023, test acc: 0.900729, test avg acc: 0.838000
Train 29, loss: 1.602044, train acc: 0.894239, train avg acc: 0.837621
Test 29, loss: 1.544005, test acc: 0.896272, test avg acc: 0.851093
Train 30, loss: 1.591934, train acc: 0.898310, train avg acc: 0.842280
Test 30, loss: 1.527111, test acc: 0.903160, test avg acc: 0.844547
Train 31, loss: 1.583057, train acc: 0.899939, train avg acc: 0.843141
Test 31, loss: 1.530533, test acc: 0.895867, test avg acc: 0.851558
Train 32, loss: 1.569962, train acc: 0.908795, train avg acc: 0.860966
Test 32, loss: 1.517576, test acc: 0.908833, test avg acc: 0.855587
Train 33, loss: 1.571331, train acc: 0.901771, train avg acc: 0.847263
