Namespace(aggregation='max', angle=0, batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=50, eval=False, exp_name='P+10', grid_samp=False, k=10, lr=0.001, model='pointnetplus', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, sigma=0, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 2.883714, train acc: 0.392101, train avg acc: 0.216976
Test 0, loss: 2.403163, test acc: 0.541734, test avg acc: 0.402494
Train 1, loss: 2.379148, train acc: 0.559446, train avg acc: 0.370359
Test 1, loss: 2.110108, test acc: 0.663695, test avg acc: 0.505448
Train 2, loss: 2.275082, train acc: 0.601181, train avg acc: 0.422302
Test 2, loss: 2.065769, test acc: 0.677472, test avg acc: 0.556151
Train 3, loss: 2.204782, train acc: 0.632533, train avg acc: 0.454129
Test 3, loss: 1.946376, test acc: 0.747164, test avg acc: 0.593547
Train 4, loss: 2.140480, train acc: 0.654825, train avg acc: 0.486713
Test 4, loss: 1.905837, test acc: 0.756888, test avg acc: 0.622058
Train 5, loss: 2.110588, train acc: 0.665309, train avg acc: 0.499893
Test 5, loss: 1.921349, test acc: 0.743922, test avg acc: 0.619564
Train 6, loss: 2.072194, train acc: 0.682105, train avg acc: 0.523638
Test 6, loss: 1.989087, test acc: 0.728525, test avg acc: 0.587169
Train 7, loss: 2.040420, train acc: 0.704092, train avg acc: 0.551509
Test 7, loss: 1.821932, test acc: 0.802269, test avg acc: 0.668227
Train 8, loss: 2.007163, train acc: 0.717223, train avg acc: 0.574090
Test 8, loss: 1.814510, test acc: 0.792950, test avg acc: 0.654442
Train 9, loss: 1.996340, train acc: 0.716511, train avg acc: 0.568587
Test 9, loss: 1.833146, test acc: 0.772285, test avg acc: 0.661727
Train 10, loss: 1.982805, train acc: 0.722822, train avg acc: 0.582220
Test 10, loss: 1.783675, test acc: 0.807131, test avg acc: 0.686837
Train 11, loss: 1.956392, train acc: 0.734833, train avg acc: 0.593836
Test 11, loss: 1.769904, test acc: 0.812399, test avg acc: 0.679326
Train 12, loss: 1.943674, train acc: 0.739719, train avg acc: 0.607248
Test 12, loss: 1.788376, test acc: 0.792545, test avg acc: 0.680541
Train 13, loss: 1.922081, train acc: 0.749593, train avg acc: 0.614577
Test 13, loss: 1.770159, test acc: 0.815640, test avg acc: 0.712576
