Namespace(aggregation='max', angle=0, batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=50, eval=False, exp_name='P10', grid_samp=False, k=10, lr=0.001, model='pointnet', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, sigma=0, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 3.056575, train acc: 0.395053, train avg acc: 0.238498
Test 0, loss: 2.232412, test acc: 0.561183, test avg acc: 0.427401
Train 1, loss: 2.340566, train acc: 0.572883, train avg acc: 0.404607
Test 1, loss: 2.031221, test acc: 0.719611, test avg acc: 0.586064
Train 2, loss: 2.225985, train acc: 0.618689, train avg acc: 0.457932
Test 2, loss: 1.994141, test acc: 0.700567, test avg acc: 0.577930
Train 3, loss: 2.177311, train acc: 0.638131, train avg acc: 0.479720
Test 3, loss: 2.004813, test acc: 0.688817, test avg acc: 0.572500
Train 4, loss: 2.134673, train acc: 0.654316, train avg acc: 0.503939
Test 4, loss: 1.957097, test acc: 0.734603, test avg acc: 0.594215
Train 5, loss: 2.119561, train acc: 0.661238, train avg acc: 0.514416
Test 5, loss: 1.942144, test acc: 0.714344, test avg acc: 0.626959
Train 6, loss: 2.087439, train acc: 0.677321, train avg acc: 0.530512
Test 6, loss: 1.852375, test acc: 0.762966, test avg acc: 0.656773
Train 7, loss: 2.060241, train acc: 0.687093, train avg acc: 0.543034
Test 7, loss: 1.983179, test acc: 0.702998, test avg acc: 0.616116
Train 8, loss: 2.047129, train acc: 0.691775, train avg acc: 0.553262
Test 8, loss: 1.941961, test acc: 0.735818, test avg acc: 0.639459
Train 9, loss: 2.038478, train acc: 0.695338, train avg acc: 0.556399
Test 9, loss: 1.878602, test acc: 0.746353, test avg acc: 0.630576
Train 10, loss: 2.015074, train acc: 0.703278, train avg acc: 0.567761
Test 10, loss: 1.850644, test acc: 0.773906, test avg acc: 0.678116
Train 11, loss: 2.001155, train acc: 0.710810, train avg acc: 0.570815
Test 11, loss: 1.805724, test acc: 0.794571, test avg acc: 0.706837
Train 12, loss: 1.987465, train acc: 0.716714, train avg acc: 0.585845
Test 12, loss: 1.789177, test acc: 0.807131, test avg acc: 0.717180
Train 13, loss: 1.979176, train acc: 0.719564, train avg acc: 0.582996
Test 13, loss: 1.880606, test acc: 0.760535, test avg acc: 0.676390
Train 14, loss: 1.968394, train acc: 0.721600, train avg acc: 0.590525
Test 14, loss: 1.795515, test acc: 0.804295, test avg acc: 0.706570
Train 15, loss: 1.965831, train acc: 0.730761, train avg acc: 0.600664
Test 15, loss: 1.802109, test acc: 0.785656, test avg acc: 0.687570
Train 16, loss: 1.945089, train acc: 0.737785, train avg acc: 0.607981
Test 16, loss: 1.815867, test acc: 0.790924, test avg acc: 0.704669
