Namespace(add_features=True, batch_size=32, dataset='parislille', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='Paris_Lille', grid_size=10, k=20, lr=0.001, model='dgcnnseg', model_path='', momentum=0.9, no_cuda=False, num_points=2048, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(add_features=True, batch_size=32, dataset='parislille', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='Paris_Lille', grid_size=10, k=20, lr=0.001, model='dgcnnseg', model_path='', momentum=0.9, no_cuda=False, num_points=2048, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 1.495184, train acc: 0.365143, train avg acc: 0.115805
Test 0, loss: 1.416971, test acc: 0.391453, test avg acc: 0.130235
Train 1, loss: 1.427083, train acc: 0.373761, train avg acc: 0.118112
Test 1, loss: 1.368475, test acc: 0.399569, test avg acc: 0.138297
Train 2, loss: 1.415352, train acc: 0.380582, train avg acc: 0.121517
Test 2, loss: 1.382362, test acc: 0.409977, test avg acc: 0.131475
Train 3, loss: 1.397133, train acc: 0.389699, train avg acc: 0.125052
Test 3, loss: 1.385632, test acc: 0.418164, test avg acc: 0.141875
Train 4, loss: 1.401847, train acc: 0.384155, train avg acc: 0.121799
Test 4, loss: 1.398652, test acc: 0.376064, test avg acc: 0.114491
Train 5, loss: 1.393891, train acc: 0.406114, train avg acc: 0.130349
Test 5, loss: 1.422575, test acc: 0.423566, test avg acc: 0.125615
Train 6, loss: 1.389293, train acc: 0.403373, train avg acc: 0.127279
Test 6, loss: 1.408147, test acc: 0.371685, test avg acc: 0.134166
Train 7, loss: 1.410329, train acc: 0.393067, train avg acc: 0.122480
Test 7, loss: 1.359024, test acc: 0.428234, test avg acc: 0.144401
Train 8, loss: 1.373288, train acc: 0.416545, train avg acc: 0.131958
Test 8, loss: 1.465817, test acc: 0.380083, test avg acc: 0.103911
Train 9, loss: 1.383117, train acc: 0.411999, train avg acc: 0.129710
