Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=2048, epochs=50, eval=False, exp_name='emb_2048', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 2.861910, train acc: 0.406963, train avg acc: 0.232572
Test 0, loss: 2.298151, test acc: 0.589951, test avg acc: 0.463395
Train 1, loss: 2.236862, train acc: 0.618282, train avg acc: 0.436031
Test 1, loss: 2.012268, test acc: 0.721637, test avg acc: 0.563953
Train 2, loss: 2.042658, train acc: 0.706535, train avg acc: 0.550801
Test 2, loss: 1.803430, test acc: 0.814425, test avg acc: 0.686488
Train 3, loss: 1.944118, train acc: 0.754682, train avg acc: 0.624853
Test 3, loss: 1.797018, test acc: 0.813209, test avg acc: 0.724953
Train 4, loss: 1.879546, train acc: 0.772700, train avg acc: 0.648699
Test 4, loss: 1.847247, test acc: 0.796596, test avg acc: 0.701622
Train 5, loss: 1.828591, train acc: 0.801507, train avg acc: 0.693464
Test 5, loss: 1.702098, test acc: 0.841167, test avg acc: 0.755029
Train 6, loss: 1.798062, train acc: 0.813009, train avg acc: 0.709441
Test 6, loss: 1.684784, test acc: 0.847650, test avg acc: 0.752023
Train 7, loss: 1.780939, train acc: 0.822781, train avg acc: 0.726222
Test 7, loss: 1.675227, test acc: 0.848055, test avg acc: 0.761297
Train 8, loss: 1.749761, train acc: 0.836217, train avg acc: 0.745155
Test 8, loss: 1.701951, test acc: 0.848865, test avg acc: 0.745169
Train 9, loss: 1.729854, train acc: 0.842325, train avg acc: 0.754783
Test 9, loss: 1.675431, test acc: 0.846029, test avg acc: 0.773651
Train 10, loss: 1.713468, train acc: 0.849450, train avg acc: 0.766423
Test 10, loss: 1.626113, test acc: 0.867099, test avg acc: 0.796820
Train 11, loss: 1.689494, train acc: 0.858815, train avg acc: 0.780682
Test 11, loss: 1.593795, test acc: 0.890600, test avg acc: 0.825023
Train 12, loss: 1.680668, train acc: 0.860342, train avg acc: 0.779865
Test 12, loss: 1.617201, test acc: 0.869530, test avg acc: 0.793738
Train 13, loss: 1.666559, train acc: 0.868180, train avg acc: 0.794185
Test 13, loss: 1.590946, test acc: 0.886143, test avg acc: 0.828610
Train 14, loss: 1.657858, train acc: 0.869605, train avg acc: 0.794629
Test 14, loss: 1.602344, test acc: 0.878039, test avg acc: 0.807227
Train 15, loss: 1.649241, train acc: 0.874186, train avg acc: 0.803434
Test 15, loss: 1.566122, test acc: 0.895867, test avg acc: 0.837680
Train 16, loss: 1.629048, train acc: 0.885790, train avg acc: 0.821784
Test 16, loss: 1.596842, test acc: 0.880065, test avg acc: 0.822628
Train 17, loss: 1.619778, train acc: 0.886706, train avg acc: 0.823184
Test 17, loss: 1.551529, test acc: 0.899109, test avg acc: 0.856390
Train 18, loss: 1.610559, train acc: 0.888029, train avg acc: 0.824786
Test 18, loss: 1.551791, test acc: 0.896272, test avg acc: 0.851384
Train 19, loss: 1.601442, train acc: 0.896478, train avg acc: 0.837061
Test 19, loss: 1.614020, test acc: 0.886953, test avg acc: 0.826465
Train 20, loss: 1.592526, train acc: 0.895664, train avg acc: 0.835383
Test 20, loss: 1.589872, test acc: 0.874797, test avg acc: 0.845384
Train 21, loss: 1.577829, train acc: 0.907166, train avg acc: 0.853046
Test 21, loss: 1.537671, test acc: 0.901945, test avg acc: 0.863558
Train 22, loss: 1.571256, train acc: 0.908286, train avg acc: 0.856769
Test 22, loss: 1.537793, test acc: 0.895867, test avg acc: 0.851424
Train 23, loss: 1.566466, train acc: 0.908591, train avg acc: 0.856846
Test 23, loss: 1.511444, test acc: 0.917747, test avg acc: 0.868541
Train 24, loss: 1.556360, train acc: 0.911747, train avg acc: 0.862287
Test 24, loss: 1.540816, test acc: 0.897083, test avg acc: 0.860099
Train 25, loss: 1.548698, train acc: 0.915615, train avg acc: 0.867923
Test 25, loss: 1.523310, test acc: 0.904781, test avg acc: 0.862250
Train 26, loss: 1.537341, train acc: 0.920399, train avg acc: 0.877233
Test 26, loss: 1.520045, test acc: 0.910859, test avg acc: 0.874721
Train 27, loss: 1.529788, train acc: 0.921926, train avg acc: 0.879390
Test 27, loss: 1.510601, test acc: 0.902350, test avg acc: 0.863703
Train 28, loss: 1.520874, train acc: 0.924471, train avg acc: 0.879845
Test 28, loss: 1.505972, test acc: 0.907618, test avg acc: 0.868500
Train 29, loss: 1.507783, train acc: 0.935159, train avg acc: 0.900547
Test 29, loss: 1.522547, test acc: 0.904376, test avg acc: 0.866727
Train 30, loss: 1.501705, train acc: 0.934853, train avg acc: 0.896429
Test 30, loss: 1.491479, test acc: 0.907212, test avg acc: 0.873791
Train 31, loss: 1.494757, train acc: 0.936584, train avg acc: 0.902480
Test 31, loss: 1.506041, test acc: 0.907212, test avg acc: 0.865913
Train 32, loss: 1.486550, train acc: 0.941673, train avg acc: 0.909934
Test 32, loss: 1.471600, test acc: 0.916126, test avg acc: 0.876331
Train 33, loss: 1.478459, train acc: 0.942793, train avg acc: 0.909046
Test 33, loss: 1.484534, test acc: 0.916126, test avg acc: 0.888297
Train 34, loss: 1.472855, train acc: 0.945134, train avg acc: 0.915382
Test 34, loss: 1.467778, test acc: 0.914911, test avg acc: 0.874000
Train 35, loss: 1.467907, train acc: 0.945847, train avg acc: 0.916823
Test 35, loss: 1.465998, test acc: 0.918152, test avg acc: 0.883872
Train 36, loss: 1.459019, train acc: 0.947679, train avg acc: 0.917737
Test 36, loss: 1.461130, test acc: 0.925851, test avg acc: 0.890994
Train 37, loss: 1.453439, train acc: 0.954092, train avg acc: 0.927683
Test 37, loss: 1.469467, test acc: 0.918152, test avg acc: 0.887872
Train 38, loss: 1.450267, train acc: 0.954296, train avg acc: 0.928623
Test 38, loss: 1.457336, test acc: 0.920989, test avg acc: 0.890035
Train 39, loss: 1.446952, train acc: 0.953787, train avg acc: 0.928043
Test 39, loss: 1.462815, test acc: 0.918558, test avg acc: 0.888331
Train 40, loss: 1.444578, train acc: 0.955619, train avg acc: 0.932182
Test 40, loss: 1.462770, test acc: 0.922204, test avg acc: 0.887616
Train 41, loss: 1.436065, train acc: 0.959385, train avg acc: 0.936665
Test 41, loss: 1.454731, test acc: 0.916937, test avg acc: 0.880041
Train 42, loss: 1.433794, train acc: 0.959691, train avg acc: 0.935623
Test 42, loss: 1.455361, test acc: 0.921799, test avg acc: 0.891372
