Namespace(aggregation='max', angle=0, batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=50, eval=False, exp_name='grid_sub_max_1536', grid_samp=True, k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1536, seed=1, sigma=0, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 2.827350, train acc: 0.410322, train avg acc: 0.235778
Test 0, loss: 2.306393, test acc: 0.537682, test avg acc: 0.415895
Train 1, loss: 2.237809, train acc: 0.617671, train avg acc: 0.437157
Test 1, loss: 2.003602, test acc: 0.713938, test avg acc: 0.582233
Train 2, loss: 2.083368, train acc: 0.690045, train avg acc: 0.530410
Test 2, loss: 1.943005, test acc: 0.734198, test avg acc: 0.637628
Train 3, loss: 1.992125, train acc: 0.726079, train avg acc: 0.580516
Test 3, loss: 1.829414, test acc: 0.798622, test avg acc: 0.697116
Train 4, loss: 1.924521, train acc: 0.758754, train avg acc: 0.630337
Test 4, loss: 1.870613, test acc: 0.762156, test avg acc: 0.675297
Train 5, loss: 1.881483, train acc: 0.775244, train avg acc: 0.654352
Test 5, loss: 1.770230, test acc: 0.807942, test avg acc: 0.708849
Train 6, loss: 1.853293, train acc: 0.789902, train avg acc: 0.676392
Test 6, loss: 1.694167, test acc: 0.848055, test avg acc: 0.752233
Train 7, loss: 1.818406, train acc: 0.804967, train avg acc: 0.698966
Test 7, loss: 1.767444, test acc: 0.797812, test avg acc: 0.719384
Train 8, loss: 1.790924, train acc: 0.813925, train avg acc: 0.712644
Test 8, loss: 1.701878, test acc: 0.839546, test avg acc: 0.750430
Train 9, loss: 1.769352, train acc: 0.823392, train avg acc: 0.724325
Test 9, loss: 1.641942, test acc: 0.863452, test avg acc: 0.787773
Train 10, loss: 1.762112, train acc: 0.828176, train avg acc: 0.732969
Test 10, loss: 1.633125, test acc: 0.871556, test avg acc: 0.796279
Train 11, loss: 1.737683, train acc: 0.842223, train avg acc: 0.752585
Test 11, loss: 1.615932, test acc: 0.881686, test avg acc: 0.806547
Train 12, loss: 1.723044, train acc: 0.841409, train avg acc: 0.754754
Test 12, loss: 1.739051, test acc: 0.824959, test avg acc: 0.743163
Train 13, loss: 1.713913, train acc: 0.847822, train avg acc: 0.765520
Test 13, loss: 1.623280, test acc: 0.868720, test avg acc: 0.803669
Train 14, loss: 1.701569, train acc: 0.850265, train avg acc: 0.767914
Test 14, loss: 1.618635, test acc: 0.876013, test avg acc: 0.805000
Train 15, loss: 1.692993, train acc: 0.855151, train avg acc: 0.774989
Test 15, loss: 1.571355, test acc: 0.892626, test avg acc: 0.832884
Train 16, loss: 1.674785, train acc: 0.864007, train avg acc: 0.785529
Test 16, loss: 1.577939, test acc: 0.888979, test avg acc: 0.826855
Train 17, loss: 1.664032, train acc: 0.867976, train avg acc: 0.795464
