Namespace(aggregation='mean', angle=0, batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=50, eval=False, exp_name='grid_sub_mean_512', grid_samp=True, k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=512, seed=1, sigma=0, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 2.834663, train acc: 0.415717, train avg acc: 0.243159
Test 0, loss: 2.324257, test acc: 0.561183, test avg acc: 0.429058
Train 1, loss: 2.326947, train acc: 0.578685, train avg acc: 0.398228
Test 1, loss: 2.164514, test acc: 0.621961, test avg acc: 0.476884
Train 2, loss: 2.206382, train acc: 0.625509, train avg acc: 0.450175
Test 2, loss: 2.064253, test acc: 0.686386, test avg acc: 0.565215
Train 3, loss: 2.140521, train acc: 0.657370, train avg acc: 0.493098
Test 3, loss: 1.942806, test acc: 0.748784, test avg acc: 0.597791
Train 4, loss: 2.096033, train acc: 0.674165, train avg acc: 0.514404
Test 4, loss: 1.946314, test acc: 0.719206, test avg acc: 0.607291
Train 5, loss: 2.065517, train acc: 0.688111, train avg acc: 0.535733
Test 5, loss: 1.964357, test acc: 0.722447, test avg acc: 0.617099
Train 6, loss: 2.029309, train acc: 0.703583, train avg acc: 0.556081
Test 6, loss: 1.922407, test acc: 0.739465, test avg acc: 0.624291
Train 7, loss: 2.000044, train acc: 0.718343, train avg acc: 0.573726
Test 7, loss: 1.856791, test acc: 0.766613, test avg acc: 0.667872
Train 8, loss: 1.967669, train acc: 0.732797, train avg acc: 0.596384
Test 8, loss: 1.804132, test acc: 0.789708, test avg acc: 0.684192
Train 9, loss: 1.947462, train acc: 0.742060, train avg acc: 0.609496
Test 9, loss: 1.853036, test acc: 0.758914, test avg acc: 0.653977
Train 10, loss: 1.933966, train acc: 0.746030, train avg acc: 0.613446
Test 10, loss: 1.771393, test acc: 0.834279, test avg acc: 0.734279
Train 11, loss: 1.903426, train acc: 0.758754, train avg acc: 0.632512
Test 11, loss: 1.774131, test acc: 0.808752, test avg acc: 0.714890
Train 12, loss: 1.883745, train acc: 0.764454, train avg acc: 0.644077
Test 12, loss: 1.753229, test acc: 0.822123, test avg acc: 0.714959
Train 13, loss: 1.881259, train acc: 0.771783, train avg acc: 0.656119
Test 13, loss: 1.733225, test acc: 0.820097, test avg acc: 0.722372
Train 14, loss: 1.864228, train acc: 0.778807, train avg acc: 0.662699
Test 14, loss: 1.699194, test acc: 0.840762, test avg acc: 0.742076
Train 15, loss: 1.847756, train acc: 0.783998, train avg acc: 0.671594
