Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=50, eval=False, exp_name='num_128_', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=128, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 2.690440, train acc: 0.469259, train avg acc: 0.291537
Test 0, loss: 2.190618, test acc: 0.635737, test avg acc: 0.498523
Train 1, loss: 2.131775, train acc: 0.664393, train avg acc: 0.494383
Test 1, loss: 1.936704, test acc: 0.738250, test avg acc: 0.615872
Train 2, loss: 2.009320, train acc: 0.716002, train avg acc: 0.567008
Test 2, loss: 1.850706, test acc: 0.764587, test avg acc: 0.665343
Train 3, loss: 1.946834, train acc: 0.742671, train avg acc: 0.606295
Test 3, loss: 1.813784, test acc: 0.809157, test avg acc: 0.707424
Train 4, loss: 1.901865, train acc: 0.762622, train avg acc: 0.635374
Test 4, loss: 1.810135, test acc: 0.789708, test avg acc: 0.719762
Train 5, loss: 1.870696, train acc: 0.776262, train avg acc: 0.656504
Test 5, loss: 1.859566, test acc: 0.766613, test avg acc: 0.699674
Train 6, loss: 1.841310, train acc: 0.787968, train avg acc: 0.674171
Test 6, loss: 1.728394, test acc: 0.831037, test avg acc: 0.757785
Train 7, loss: 1.811226, train acc: 0.801812, train avg acc: 0.695759
Test 7, loss: 1.723023, test acc: 0.825770, test avg acc: 0.746297
Train 8, loss: 1.791366, train acc: 0.812195, train avg acc: 0.711110
Test 8, loss: 1.728754, test acc: 0.824149, test avg acc: 0.740372
Train 9, loss: 1.779438, train acc: 0.817182, train avg acc: 0.715513
Test 9, loss: 1.720648, test acc: 0.820097, test avg acc: 0.745337
Train 10, loss: 1.762707, train acc: 0.824613, train avg acc: 0.732029
Test 10, loss: 1.693519, test acc: 0.839951, test avg acc: 0.780477
Train 11, loss: 1.745821, train acc: 0.826649, train avg acc: 0.731781
Test 11, loss: 1.714086, test acc: 0.843193, test avg acc: 0.770401
Train 12, loss: 1.726445, train acc: 0.837235, train avg acc: 0.747733
Test 12, loss: 1.702270, test acc: 0.833874, test avg acc: 0.765587
Train 13, loss: 1.718850, train acc: 0.840798, train avg acc: 0.749927
Test 13, loss: 1.682820, test acc: 0.835900, test avg acc: 0.761209
Train 14, loss: 1.704519, train acc: 0.847618, train avg acc: 0.760501
Test 14, loss: 1.655503, test acc: 0.846029, test avg acc: 0.780174
Train 15, loss: 1.695108, train acc: 0.850875, train avg acc: 0.768925
Test 15, loss: 1.650676, test acc: 0.858995, test avg acc: 0.797372
Train 16, loss: 1.679611, train acc: 0.857594, train avg acc: 0.781452
Test 16, loss: 1.625389, test acc: 0.856969, test avg acc: 0.808314
Train 17, loss: 1.670945, train acc: 0.859019, train avg acc: 0.784710
Test 17, loss: 1.625401, test acc: 0.856159, test avg acc: 0.791174
Train 18, loss: 1.655023, train acc: 0.866246, train avg acc: 0.794119
Test 18, loss: 1.609996, test acc: 0.867099, test avg acc: 0.794750
Train 19, loss: 1.659926, train acc: 0.864108, train avg acc: 0.791989
Test 19, loss: 1.646846, test acc: 0.861426, test avg acc: 0.815855
Train 20, loss: 1.648261, train acc: 0.866958, train avg acc: 0.795659
Test 20, loss: 1.588991, test acc: 0.878039, test avg acc: 0.827006
Train 21, loss: 1.630493, train acc: 0.878461, train avg acc: 0.812684
Test 21, loss: 1.600264, test acc: 0.862237, test avg acc: 0.808349
Train 22, loss: 1.625019, train acc: 0.879886, train avg acc: 0.813925
Test 22, loss: 1.598764, test acc: 0.873177, test avg acc: 0.818988
Train 23, loss: 1.613432, train acc: 0.885485, train avg acc: 0.823674
Test 23, loss: 1.605478, test acc: 0.858590, test avg acc: 0.811552
Train 24, loss: 1.609915, train acc: 0.885281, train avg acc: 0.824651
Test 24, loss: 1.622811, test acc: 0.862237, test avg acc: 0.817541
Train 25, loss: 1.596143, train acc: 0.889251, train avg acc: 0.828070
Test 25, loss: 1.561194, test acc: 0.881686, test avg acc: 0.830930
Train 26, loss: 1.590150, train acc: 0.892915, train avg acc: 0.839015
Test 26, loss: 1.581219, test acc: 0.880470, test avg acc: 0.821593
Train 27, loss: 1.588095, train acc: 0.895664, train avg acc: 0.839718
Test 27, loss: 1.602131, test acc: 0.862642, test avg acc: 0.811622
Train 28, loss: 1.578648, train acc: 0.898616, train avg acc: 0.843265
Test 28, loss: 1.558302, test acc: 0.879254, test avg acc: 0.818058
Train 29, loss: 1.568292, train acc: 0.903400, train avg acc: 0.849141
Test 29, loss: 1.555161, test acc: 0.888574, test avg acc: 0.825558
Train 30, loss: 1.562999, train acc: 0.903196, train avg acc: 0.848103
Test 30, loss: 1.555490, test acc: 0.880875, test avg acc: 0.820599
Train 31, loss: 1.545205, train acc: 0.911645, train avg acc: 0.862195
Test 31, loss: 1.570165, test acc: 0.875203, test avg acc: 0.828616
Train 32, loss: 1.542490, train acc: 0.913579, train avg acc: 0.864825
Test 32, loss: 1.554786, test acc: 0.879254, test avg acc: 0.826552
Train 33, loss: 1.539236, train acc: 0.912765, train avg acc: 0.864794
Test 33, loss: 1.546082, test acc: 0.881280, test avg acc: 0.831686
Train 34, loss: 1.524683, train acc: 0.917651, train avg acc: 0.874103
Test 34, loss: 1.558659, test acc: 0.874797, test avg acc: 0.829564
Train 35, loss: 1.522964, train acc: 0.923147, train avg acc: 0.880255
Test 35, loss: 1.557249, test acc: 0.876013, test avg acc: 0.839750
Train 36, loss: 1.514268, train acc: 0.924674, train avg acc: 0.882162
Test 36, loss: 1.538243, test acc: 0.887763, test avg acc: 0.843180
Train 37, loss: 1.512926, train acc: 0.923962, train avg acc: 0.881979
Test 37, loss: 1.538230, test acc: 0.886548, test avg acc: 0.844895
Train 38, loss: 1.498384, train acc: 0.931494, train avg acc: 0.894162
Test 38, loss: 1.530821, test acc: 0.886143, test avg acc: 0.840971
Train 39, loss: 1.496225, train acc: 0.933530, train avg acc: 0.897740
Test 39, loss: 1.529929, test acc: 0.888979, test avg acc: 0.852052
Train 40, loss: 1.492161, train acc: 0.933632, train avg acc: 0.896020
Test 40, loss: 1.526820, test acc: 0.889789, test avg acc: 0.847593
Train 41, loss: 1.490061, train acc: 0.936686, train avg acc: 0.901322
Test 41, loss: 1.531155, test acc: 0.884927, test avg acc: 0.841174
Train 42, loss: 1.483510, train acc: 0.939027, train avg acc: 0.902962
Test 42, loss: 1.526320, test acc: 0.890194, test avg acc: 0.846965
Train 43, loss: 1.478629, train acc: 0.943302, train avg acc: 0.910397
Test 43, loss: 1.527625, test acc: 0.891815, test avg acc: 0.847506
