Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=50, eval=False, exp_name='num_256', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=256, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 2.772442, train acc: 0.438213, train avg acc: 0.263323
Test 0, loss: 2.147182, test acc: 0.634927, test avg acc: 0.505477
Train 1, loss: 2.151345, train acc: 0.655334, train avg acc: 0.480231
Test 1, loss: 1.930891, test acc: 0.749190, test avg acc: 0.607453
Train 2, loss: 2.005718, train acc: 0.719055, train avg acc: 0.566051
Test 2, loss: 1.845237, test acc: 0.773501, test avg acc: 0.661134
Train 3, loss: 1.924633, train acc: 0.757634, train avg acc: 0.621989
Test 3, loss: 1.792662, test acc: 0.814830, test avg acc: 0.702669
Train 4, loss: 1.882737, train acc: 0.773514, train avg acc: 0.647613
Test 4, loss: 1.760441, test acc: 0.811994, test avg acc: 0.729895
Train 5, loss: 1.840034, train acc: 0.793669, train avg acc: 0.679170
Test 5, loss: 1.738781, test acc: 0.818882, test avg acc: 0.720715
Train 6, loss: 1.808966, train acc: 0.804051, train avg acc: 0.693147
Test 6, loss: 1.757519, test acc: 0.825770, test avg acc: 0.755244
Train 7, loss: 1.792455, train acc: 0.813314, train avg acc: 0.710085
Test 7, loss: 1.734541, test acc: 0.825770, test avg acc: 0.743948
Train 8, loss: 1.760293, train acc: 0.827463, train avg acc: 0.726992
Test 8, loss: 1.704447, test acc: 0.848055, test avg acc: 0.768703
Train 9, loss: 1.740001, train acc: 0.836625, train avg acc: 0.743369
Test 9, loss: 1.678176, test acc: 0.836305, test avg acc: 0.767837
Train 10, loss: 1.727974, train acc: 0.838050, train avg acc: 0.752486
Test 10, loss: 1.646066, test acc: 0.856969, test avg acc: 0.796558
Train 11, loss: 1.710598, train acc: 0.847007, train avg acc: 0.761831
Test 11, loss: 1.653744, test acc: 0.861021, test avg acc: 0.779570
Train 12, loss: 1.700322, train acc: 0.845379, train avg acc: 0.760074
Test 12, loss: 1.615423, test acc: 0.871961, test avg acc: 0.808645
Train 13, loss: 1.682284, train acc: 0.855456, train avg acc: 0.775217
